teamIdHome,teamIdAway,home_team_position,away_team_position,matchweek,homeGF,homeGA,awayGF,awayGA,homeLast1,homeLast2,homeLast3,homeLast4,homeLast5,awayLast1,awayLast2,awayLast3,awayLast4,awayLast5,homeScore,awayScore,o35
5,6,7,18,33,24,39,42,40,0.5,1,0.5,1,0.5,0,1,0.5,0,0.5,0,1,0
9,16,19,15,33,51,40,32,51,0.5,0,0,0.5,0,0,0.5,0,0,1,0,3,0
13,3,12,2,33,31,41,59,38,0,1,0,0.5,1,1,1,1,0,1,2,0,0
8,11,17,13,33,42,42,39,48,0.5,0.5,0,0,0,0,0,0.5,0,1,0,3,0
17,18,16,5,33,48,55,42,48,0.5,1,0.5,0,0,0,1,1,1,1,0,2,0
7,10,11,20,33,45,43,36,40,1,0,1,0,0,0,0.5,0,0,0,4,1,1
4,14,8,4,33,46,35,40,48,0,0.5,0.5,1,1,0,0,1,1,1,2,1,0
12,15,9,14,33,36,38,41,37,0.5,0,0,1,0,0.5,1,0.5,0.5,0,3,3,1
19,20,6,10,33,35,36,59,45,1,1,0,1,1,1,0,0,1,0,3,0,0
17,5,16,7,34,48,57,24,40,0.5,1,0.5,0,0,0.5,1,0.5,1,0.5,1,2,0
1,20,3,10,34,59,44,59,48,1,0.5,1,0.5,1,1,0,0,1,0,0,1,0
11,19,13,6,34,42,48,38,36,0,0,0.5,0,1,1,1,0,1,1,2,0,0
10,2,20,1,34,37,44,46,45,0,0.5,0,0,0,0.5,1,0,1,1,0,1,0
14,9,4,19,34,41,50,51,43,0,0,1,1,1,0.5,0,0,0.5,0,1,2,0
6,13,18,12,34,43,40,33,41,0,1,0.5,0,0.5,0,1,0,0.5,1,3,2,1
15,4,14,8,34,44,40,48,36,0.5,1,0.5,0.5,0,0,0.5,0.5,1,1,1,0,0
16,8,15,17,34,35,51,42,45,0,0.5,0,0,1,0.5,0.5,0,0,0,1,0,0
18,12,5,9,34,44,48,39,41,0,1,1,1,1,0.5,0,0,1,0,1,0,0
3,7,2,11,34,59,40,49,44,1,1,1,0,1,1,0,1,0,0,0,1,0
4,12,8,9,35,48,37,39,42,0,0.5,0.5,1,1,0.5,0,0,1,0,1,0,0
2,3,1,2,35,47,45,59,41,0.5,1,0,1,1,1,1,1,0,1,0,2,0
5,18,7,5,35,26,41,45,48,0.5,1,0.5,1,0.5,0,1,1,1,1,1,0,0
20,10,10,20,35,60,48,37,45,1,0,0,1,0,0,0.5,0,0,0,0,2,0
7,6,11,18,35,50,44,46,42,1,0,1,0,0,0,1,0.5,0,0.5,4,0,1
13,17,12,16,35,35,44,49,59,0,1,0,0.5,1,0.5,1,0.5,0,0,1,0,0
19,16,6,15,35,38,38,36,51,1,1,0,1,1,0,0.5,0,0,1,2,1,0
8,14,17,4,35,42,46,42,52,0.5,0.5,0,0,0,0,0,1,1,1,0,0,0
1,11,3,13,35,59,45,44,48,1,0.5,1,0.5,1,0,0,0.5,0,1,2,1,0
9,15,19,14,35,53,44,45,40,0.5,0,0,0.5,0,0.5,1,0.5,0.5,0,0,0,0
6,2,18,1,36,46,46,47,47,0,1,0.5,0,0.5,0.5,1,0,1,1,0,2,0
18,4,5,8,36,45,49,49,37,0,1,1,1,1,0,0.5,0.5,1,1,3,1,1
12,9,9,19,36,39,43,53,44,0.5,0,0,1,0,0.5,0,0,0.5,0,1,2,0
15,8,14,17,36,45,40,42,46,0.5,1,0.5,0.5,0,0.5,0.5,0,0,0,1,0,0
5,13,7,12,36,27,41,36,44,0.5,1,0.5,1,0.5,0,1,0,0.5,1,1,0,0
10,11,20,13,36,39,45,45,50,0,0.5,0,0,0,0,0,0.5,0,1,2,0,0
17,7,16,11,36,49,60,54,44,0.5,1,0.5,0,0,1,0,1,0,0,1,0,0
14,19,4,6,36,42,52,40,39,0,0,1,1,1,1,1,0,1,1,2,0,0
3,20,2,10,36,61,41,60,50,1,1,1,0,1,1,0,0,1,0,0,3,0
16,1,15,3,36,37,53,61,46,0,0.5,0,0,1,1,0.5,1,0.5,1,0,0,0
9,4,19,8,37,55,45,50,40,0.5,0,0,0.5,0,0,0.5,0.5,1,1,2,4,1
2,17,1,16,37,49,47,50,60,0.5,1,0,1,1,0.5,1,0.5,0,0,1,1,0
7,5,11,7,37,54,45,28,41,1,0,1,0,0,0.5,1,0.5,1,0.5,1,1,0
1,14,3,4,37,61,46,44,52,1,0.5,1,0.5,1,0,0,1,1,1,1,1,0
11,3,13,2,37,45,52,61,44,0,0,0.5,0,1,1,1,1,0,1,0,2,0
10,16,20,15,37,41,45,37,53,0,0.5,0,0,0,0,0.5,0,0,1,2,1,0
13,18,12,5,37,36,45,48,50,0,1,0,0.5,1,0,1,1,1,1,2,0,0
20,6,10,18,37,63,50,46,48,1,0,0,1,0,0,1,0.5,0,0.5,0,0,0
19,15,6,14,37,40,41,46,40,1,1,0,1,1,0.5,1,0.5,0.5,0,3,1,1
8,12,17,9,37,42,47,40,45,0.5,0.5,0,0,0,0.5,0,0,1,0,1,2,0
5,2,7,1,38,29,42,50,48,0.5,1,0.5,1,0.5,0.5,1,0,1,1,2,1,0
18,9,5,19,38,48,52,57,49,0,1,1,1,1,0.5,0,0,0.5,0,1,2,0
4,8,8,17,38,54,42,43,49,0,0.5,0.5,1,1,0.5,0.5,0,0,0,2,1,0
13,7,12,11,38,38,45,55,46,0,1,0,0.5,1,1,0,1,0,0,2,0,0
14,10,4,20,38,45,53,43,46,0,0,1,1,1,0,0.5,0,0,0,0,0,0
15,1,14,3,38,47,43,62,47,0.5,1,0.5,0.5,0,1,0.5,1,0.5,1,2,1,0
3,16,2,15,38,63,44,38,55,1,1,1,0,1,0,0.5,0,0,1,4,1,1
12,19,9,6,38,42,46,43,42,0.5,0,0,1,0,1,1,0,1,1,3,2,1
17,20,16,10,38,51,61,63,50,0.5,1,0.5,0,0,1,0,0,1,0,2,1,0
6,11,18,13,38,46,48,45,54,0,1,0.5,0,0.5,0,0,0.5,0,1,0,0,0
1,12,3,9,1,1,2,3,2,1,0.5,1,0.5,1,0.5,0,0,1,0,4,1,1
16,6,15,18,1,1,4,0,0,0,0.5,0,0,1,0,1,0.5,0,0.5,3,1,1
10,15,20,14,1,0,0,2,1,0,0.5,0,0,0,0.5,1,0.5,0.5,0,2,0,0
2,13,1,12,1,1,2,2,0,0.5,1,0,1,1,0,1,0,0.5,1,1,0,0
11,17,13,16,1,0,0,2,1,0,0,0.5,0,1,0.5,1,0.5,0,0,1,0,0
19,4,6,8,1,2,3,2,1,1,1,0,1,1,0,0.5,0.5,1,1,2,1,0
20,5,10,7,1,1,2,2,1,1,0,0,1,0,0.5,1,0.5,1,0.5,1,1,0
7,18,11,5,1,0,2,1,2,1,0,1,0,0,0,1,1,1,1,3,0,0
3,14,2,4,1,4,1,0,0,1,1,1,0,1,0,0,1,1,1,3,0,0
8,9,17,19,1,1,2,2,1,0.5,0.5,0,0,0,0.5,0,0,0.5,0,0,2,0
4,1,8,3,2,3,3,5,3,0,0.5,0.5,1,1,1,0.5,1,0.5,1,0,1,0
7,2,11,1,2,3,2,2,2,1,0,1,0,0,0.5,1,0,1,1,0,2,0
12,10,9,20,2,4,6,2,0,0.5,0,0,1,0,0,0.5,0,0,0,0,2,0
9,19,19,6,2,4,1,4,4,0.5,0,0,0.5,0,1,1,0,1,1,0,0,0
18,8,5,17,2,1,5,1,4,0,1,1,1,1,0.5,0.5,0,0,0,3,2,1
15,3,14,2,2,2,3,7,1,0.5,1,0.5,0.5,0,1,1,1,0,1,0,3,0
13,20,12,10,2,2,1,2,3,0,1,0,0.5,1,1,0,0,1,0,0,1,0
17,16,16,15,2,2,2,4,5,0.5,1,0.5,0,0,0,0.5,0,0,1,0,1,0
5,11,7,13,2,3,2,1,0,0.5,1,0.5,1,0.5,0,0,0.5,0,1,0,1,0
6,14,18,4,2,1,3,0,3,0,1,0.5,0,0.5,0,0,1,1,1,2,1,0
19,8,6,17,3,4,4,3,7,1,1,0,1,1,0.5,0.5,0,0,0,2,0,0
2,18,1,5,3,4,2,4,7,0.5,1,0,1,1,0,1,1,1,1,1,1,0
1,9,3,19,3,6,3,4,1,1,0.5,1,0.5,1,0.5,0,0,0.5,0,1,1,0
3,12,2,9,3,10,1,4,8,1,1,1,0,1,0.5,0,0,1,0,3,1,1
14,17,4,16,3,1,5,2,3,0,0,1,1,1,0.5,1,0.5,0,0,0,0,0
16,5,15,7,3,5,5,3,3,0,0.5,0,0,1,0.5,1,0.5,1,0.5,1,2,0
11,13,13,12,3,2,0,2,2,0,0,0.5,0,1,0,1,0,0.5,1,1,2,0
20,7,10,11,3,3,3,3,4,1,0,0,1,0,1,0,1,0,0,1,3,1
10,4,20,8,3,4,0,3,4,0,0.5,0,0,0,0,0.5,0.5,1,1,2,2,1
6,15,18,14,3,3,4,2,6,0,1,0.5,0,0.5,0.5,1,0.5,0.5,0,0,1,0
12,6,9,18,4,5,11,3,5,0.5,0,0,1,0,0,1,0.5,0,0.5,0,2,0
8,1,17,3,4,3,9,7,4,0.5,0.5,0,0,0,1,0.5,1,0.5,1,1,2,0
4,3,8,2,4,5,6,13,2,0,0.5,0.5,1,1,1,1,1,0,1,2,2,1
